,z,t,theta_train
902,-7.0,1.788,0.25455548127969124
903,-7.0,1.8,0.23892678354244765
904,-7.0,1.8119999999999998,0.25255271881113006
905,-7.0,1.824,0.24629823022220038
906,-7.0,1.8359999999999999,0.24123593307944682
907,-7.0,1.848,0.25263543430868973
908,-7.0,1.86,0.2487396273431447
909,-7.0,1.8719999999999999,0.24556853976548237
910,-7.0,1.884,0.24513285383361283
911,-7.0,1.896,0.24978969700257958
912,-7.0,1.908,0.24281267642907717
913,-7.0,1.92,0.25142023449405587
914,-7.0,1.932,0.24320218023173873
915,-7.0,1.944,0.24318730786890835
916,-7.0,1.956,0.2477679554653142
917,-7.0,1.9680000000000002,0.24404337863634587
918,-7.0,1.98,0.2506738489057086
919,-7.0,1.992,0.23828818496019008
920,-7.0,2.004,0.2413663163301604
921,-7.0,2.016,0.23447332129862314
922,-7.0,2.028,0.2380294348220247
923,-7.0,2.04,0.2513708890370653
924,-7.0,2.052,0.24685908835510642
925,-7.0,2.064,0.24439799014210234
926,-7.0,2.076,0.2608696967189151
927,-7.0,2.088,0.2807695941146321
928,-7.0,2.1,0.303342701126358
929,-7.0,2.112,0.3207302811603567
930,-7.0,2.124,0.33973727611478316
931,-7.0,2.136,0.3545445594605298
932,-7.0,2.148,0.3558380128953259
933,-7.0,2.16,0.3667828128940479
934,-7.0,2.1719999999999997,0.3755092834348162
935,-7.0,2.184,0.37710024992926755
936,-7.0,2.1959999999999997,0.38094851422966497
937,-7.0,2.208,0.3881890793545211
938,-7.0,2.22,0.3874943161039456
939,-7.0,2.2319999999999998,0.4023098501086849
940,-7.0,2.244,0.39608941682266957
941,-7.0,2.256,0.39709563298032874
942,-7.0,2.268,0.3975812773930793
943,-7.0,2.28,0.38228831183186457
944,-7.0,2.2920000000000003,0.38178836354914714
945,-7.0,2.3040000000000003,0.37996120697226965
946,-7.0,2.316,0.3652571794881921
947,-7.0,2.3280000000000003,0.3705418382231122
948,-7.0,2.34,0.36846314053618817
949,-7.0,2.352,0.36231589214205395
950,-7.0,2.364,0.365466541360545
951,-7.0,2.376,0.36529228498604754
952,-7.0,2.388,0.35808186823173344
953,-7.0,2.4,0.35577984774574223
954,-7.0,2.412,0.35614810719367784
955,-7.0,2.424,0.35992154233951756
956,-7.0,2.436,0.3425784239204724
957,-7.0,2.448,0.3555471322066653
958,-7.0,2.46,0.3480214099229322
959,-7.0,2.472,0.3487625395211356
960,-7.0,2.484,0.3462318819992055
961,-7.0,2.496,0.3442842495408346
962,-7.0,2.508,0.3445258413255172
963,-7.0,2.52,0.34333729066772495
964,-7.0,2.532,0.3373947168860502
965,-7.0,2.544,0.3449322637362927
966,-7.0,2.556,0.3430984585874873
967,-7.0,2.568,0.3306069329653209
968,-7.0,2.58,0.33356624000925783
969,-7.0,2.592,0.33413800066170485
970,-7.0,2.6039999999999996,0.33516204191161186
971,-7.0,2.616,0.3186165592328261
972,-7.0,2.628,0.32849333423850663
973,-7.0,2.64,0.3196451866588
974,-7.0,2.6519999999999997,0.3241007898989633
975,-7.0,2.6639999999999997,0.3299560037117315
976,-7.0,2.676,0.32269993244421724
977,-7.0,2.688,0.31982493588601973
978,-7.0,2.7,0.32262959152353793
979,-7.0,2.7119999999999997,0.32387938583652126
980,-7.0,2.7239999999999998,0.31695368788252704
981,-7.0,2.736,0.3253241776335697
982,-7.0,2.748,0.32077598557992126
983,-7.0,2.76,0.31041516699591754
984,-7.0,2.772,0.3079918215801414
985,-7.0,2.7840000000000003,0.31175622257092933
986,-7.0,2.7960000000000003,0.3129868257425596
987,-7.0,2.8080000000000003,0.3110677117304341
988,-7.0,2.82,0.3021992212042385
989,-7.0,2.832,0.3219152875384059
990,-7.0,2.844,0.3090124540069654
991,-7.0,2.8560000000000003,0.3079408518687034
992,-7.0,2.8680000000000003,0.30453669850178866
993,-7.0,2.88,0.3199518801477653
994,-7.0,2.892,0.3086930099922521
995,-7.0,2.904,0.3146152657882054
996,-7.0,2.9160000000000004,0.30233698999988745
997,-7.0,2.928,0.3047596762479948
998,-7.0,2.94,0.30998151150484216
999,-7.0,2.952,0.30070513626055045
1000,-7.0,2.964,0.30554864806446713
1001,-7.0,2.9760000000000004,0.3072175686687891
1002,-7.0,2.988,0.30663965801226845
1003,-7.0,3.0,0.3097486906163342
1004,-9.0,0.0,0.13235650401520827
1005,-9.0,0.012,0.12751176170347148
1006,-9.0,0.024,0.13315613585030542
1007,-9.0,0.036000000000000004,0.12699229509369134
1008,-9.0,0.048,0.12477814750966906
1009,-9.0,0.06,0.1187817266030943
1010,-9.0,0.07200000000000001,0.1185740440794853
1011,-9.0,0.084,0.12346311944091277
1012,-9.0,0.096,0.12942730433249336
1013,-9.0,0.10800000000000001,0.1212454875728402
1014,-9.0,0.12,0.1272782183982812
1015,-9.0,0.132,0.13273785538545593
1016,-9.0,0.14400000000000002,0.12973609337149927
1017,-9.0,0.156,0.1189315385328304
1018,-9.0,0.168,0.12822065708731137
1019,-9.0,0.18,0.12148218291550382
1020,-9.0,0.192,0.12203209739743878
1021,-9.0,0.204,0.17589332650533676
1022,-9.0,0.21600000000000003,0.23963242817066277
1023,-9.0,0.228,0.26720956462036266
1024,-9.0,0.24,0.292765691556111
1025,-9.0,0.252,0.31912807925661135
1026,-9.0,0.264,0.324737162769975
1027,-9.0,0.276,0.3304050792738067
1028,-9.0,0.28800000000000003,0.3140764802354386
1029,-9.0,0.3,0.31177461540926027
1030,-9.0,0.312,0.31405582439259216
1031,-9.0,0.324,0.3232396142424802
1032,-9.0,0.336,0.3125655312663304
1033,-9.0,0.34800000000000003,0.3250997324509411
1034,-9.0,0.36,0.3075376555021971
1035,-9.0,0.37200000000000005,0.31728358296086234
1036,-9.0,0.384,0.31634488406957967
1037,-9.0,0.396,0.30918223667479966
1038,-9.0,0.408,0.2970778641780881
1039,-9.0,0.42,0.30339028759631426
1040,-9.0,0.43200000000000005,0.2992160924893225
1041,-9.0,0.444,0.3001735854223438
1042,-9.0,0.456,0.2982222548014582
1043,-9.0,0.46799999999999997,0.293718928585215
1044,-9.0,0.48,0.29376854784338013
1045,-9.0,0.49200000000000005,0.29361353790860034
1046,-9.0,0.504,0.29125071723733387
1047,-9.0,0.516,0.29918753269515613
1048,-9.0,0.528,0.29391527090762243
1049,-9.0,0.54,0.2984590029606958
1050,-9.0,0.552,0.30010117489733423
1051,-9.0,0.5640000000000001,0.29115894178560414
1052,-9.0,0.5760000000000001,0.29090666147850935
1053,-9.0,0.588,0.2844538659457229
1054,-9.0,0.6,0.2828622170925583
1055,-9.0,0.612,0.285898481876042
1056,-9.0,0.624,0.28538829726495923
1057,-9.0,0.636,0.2817416845192809
1058,-9.0,0.648,0.28669504404025714
1059,-9.0,0.66,0.28846440180575705
1060,-9.0,0.672,0.2841070069145893
1061,-9.0,0.684,0.2879784118783693
1062,-9.0,0.6960000000000001,0.2814857166228045
1063,-9.0,0.708,0.2765231430245851
1064,-9.0,0.72,0.2838758927170723
1065,-9.0,0.732,0.28356788586460047
1066,-9.0,0.7440000000000001,0.2769288066346289
1067,-9.0,0.7559999999999999,0.2659572832446049
1068,-9.0,0.768,0.2756925563386549
1069,-9.0,0.78,0.2738668610224288
1070,-9.0,0.792,0.2754600090237436
1071,-9.0,0.804,0.27255118687986535
1072,-9.0,0.8160000000000001,0.2800070019890231
1073,-9.0,0.8280000000000001,0.28288449733706783
1074,-9.0,0.84,0.2623463092588004
1075,-9.0,0.852,0.2752185457069174
1076,-9.0,0.8640000000000001,0.2744559943606579
1077,-9.0,0.8759999999999999,0.27182234121264287
1078,-9.0,0.888,0.2703934523850277
1079,-9.0,0.9,0.2782694264939204
1080,-9.0,0.912,0.26929334082955425
1081,-9.0,0.924,0.2622339770894137
1082,-9.0,0.9359999999999999,0.2651978291165287
1083,-9.0,0.948,0.2685344938166477
1084,-9.0,0.96,0.27854084949451674
1085,-9.0,0.972,0.2633001345994816
1086,-9.0,0.9840000000000001,0.26523023559246744
1087,-9.0,0.996,0.27266692322343333
1088,-9.0,1.008,0.26593907714224124
1089,-9.0,1.02,0.2579459806113884
1090,-9.0,1.032,0.26608814772391826
1091,-9.0,1.044,0.266640931484288
1092,-9.0,1.056,0.2711447012079452
1093,-9.0,1.068,0.261975005720639
1094,-9.0,1.08,0.2659103202990954
1095,-9.0,1.092,0.26524313485615864
1096,-9.0,1.104,0.25129915036441264
1097,-9.0,1.1159999999999999,0.2615849330136968
1098,-9.0,1.128,0.26285887375548195
1099,-9.0,1.14,0.24539700882999635
1100,-9.0,1.152,0.26491330240299676
1101,-9.0,1.1640000000000001,0.2591987028657145
1102,-9.0,1.176,0.25841148263794034
1103,-9.0,1.188,0.2596740671804705
1104,-9.0,1.2,0.2541261998738145
1105,-9.0,1.212,0.2566033192378824
1106,-9.0,1.224,0.25881904268906464
1107,-9.0,1.236,0.25691877786928774
1108,-9.0,1.248,0.26950790634474087
1109,-9.0,1.26,0.24867055007252858
1110,-9.0,1.272,0.2633134274564043
1111,-9.0,1.284,0.24996928236109572
1112,-9.0,1.296,0.2640528793537313
1113,-9.0,1.308,0.2608280490153162
1114,-9.0,1.32,0.25674940054507867
1115,-9.0,1.3319999999999999,0.25784848094018437
1116,-9.0,1.344,0.2547238505313977
1117,-9.0,1.3559999999999999,0.25457501613887906
1118,-9.0,1.368,0.26112304792963587
1119,-9.0,1.38,0.2532591515417865
1120,-9.0,1.392,0.25725680336247436
1121,-9.0,1.404,0.25453669566812853
1122,-9.0,1.416,0.2635781326959318
1123,-9.0,1.4280000000000002,0.25148389167298857
1124,-9.0,1.44,0.25264712890031044
1125,-9.0,1.452,0.2551739559429751
1126,-9.0,1.464,0.25118212142421503
1127,-9.0,1.476,0.2556965787687623
1128,-9.0,1.4880000000000002,0.25556724512448126
1129,-9.0,1.5,0.2499045091115449
1130,-9.0,1.5119999999999998,0.24731074392008978
1131,-9.0,1.524,0.25767961449552135
1132,-9.0,1.536,0.2465810811825472
1133,-9.0,1.548,0.24915030937063096
1134,-9.0,1.56,0.24619259010172506
1135,-9.0,1.5719999999999998,0.2558867083167989
1136,-9.0,1.584,0.2541566474844623
1137,-9.0,1.5959999999999999,0.25610007223021064
1138,-9.0,1.608,0.24870852659196635
1139,-9.0,1.62,0.25007988981653956
1140,-9.0,1.632,0.2522448320789638
1141,-9.0,1.644,0.2570332302393761
1142,-9.0,1.656,0.24573651068537442
1143,-9.0,1.6680000000000001,0.24262417214263002
1144,-9.0,1.68,0.24117233222607565
1145,-9.0,1.692,0.24386953237995707
1146,-9.0,1.704,0.24902016602181304
1147,-9.0,1.716,0.24755789616909302
1148,-9.0,1.7280000000000002,0.2539707919004147
1149,-9.0,1.74,0.2509367857071753
1150,-9.0,1.7519999999999998,0.24333426823400284
1151,-9.0,1.764,0.24575765583217557
1152,-9.0,1.776,0.24281103712976887
1153,-9.0,1.788,0.242100591202225
1154,-9.0,1.8,0.250329776666993
1155,-9.0,1.8119999999999998,0.247858448987889
1156,-9.0,1.824,0.2346820638894075
1157,-9.0,1.8359999999999999,0.24575112619428124
1158,-9.0,1.848,0.25206091924810814
1159,-9.0,1.86,0.24192317167884128
1160,-9.0,1.8719999999999999,0.24134812437839984
1161,-9.0,1.884,0.2467014247769214
1162,-9.0,1.896,0.24599133146526422
1163,-9.0,1.908,0.24208499973743408
1164,-9.0,1.92,0.2504952463287029
1165,-9.0,1.932,0.24410060866915637
1166,-9.0,1.944,0.2417238975190108
1167,-9.0,1.956,0.23775226337363048
1168,-9.0,1.9680000000000002,0.24169110535610355
1169,-9.0,1.98,0.2408676044611525
1170,-9.0,1.992,0.23541992204649448
1171,-9.0,2.004,0.23981357673798584
1172,-9.0,2.016,0.25072495803544
1173,-9.0,2.028,0.2362213216795867
1174,-9.0,2.04,0.24388619301570413
